query,disease,context
What is allergic rhinitis ?,allergic rhintis,0
What are the signs and symptoms of allergic rhinitis ?,allergic rhintis,2
What are the complications of allergic rhinitis ?,allergic rhintis,2
What are the nasal symptoms of allergic rhinitis ?,allergic rhintis,2
"What are the ear, eye and throat symptoms of allergic rhinitis ?",allergic rhintis,2
Which lab tests are used in the diagnosis of allergic rhinitis ?,allergic rhintis,1
How are imaging studies used in the diagnosis and evaluation of allergic rhinitis ?,allergic rhintis,1
What are the major treatment strategies for allergic rhinitis ?,allergic rhintis,1
What is the economic burden of allergic rhinitis ?,allergic rhintis,0
What is the pathophysiology of allergic rhinitis ?,allergic rhintis,0
What is the role of immunoglobulin E (IgE) in the pathogenesis of allergic rhinitis ?,allergic rhintis,1
Which mediators are immediately released in the pathogenesis of allergic rhinitis ?,allergic rhintis,2
What are systemic effects of allergic rhinitis ?,allergic rhintis,0
What is the prevalence of allergic rhinitis  in the US?,allergic rhintis,0
What is the global prevalence of allergic rhinitis ?,allergic rhintis,0
What is the mortality and morbidities of allergic rhinitis ?,allergic rhintis,0
What are racial predilections of allergic rhinitis ?,allergic rhintis,2
How does the prevalence of allergic rhinitis  vary by sex?,allergic rhintis,2
How does the prevalence of allergic rhinitis  vary by age?,allergic rhintis,2
What is the focus of history for suspected allergic rhinitis ?,allergic rhintis,0
What are symptoms of allergic rhinitis ?,allergic rhintis,0
At what age is the onset of symptoms for allergic rhinitis  most common?,allergic rhintis,2
What is the significance of a time pattern to symptoms of allergic rhinitis ?,allergic rhintis,0
How is allergic rhinitis  classified?,allergic rhintis,0
What is the significance of congestion in allergic rhinitis ?,allergic rhintis,0
What are possible trigger factors for allergic rhinitis ?,allergic rhintis,2
What are irritant triggers associated with allergic rhinitis ?,allergic rhintis,0
Which perennial allergens may cause chronic allergic rhinitis ?,allergic rhintis,2
What is indicated by response to treatments for allergic rhinitis ?,allergic rhintis,1
Which atopic conditions are associated with allergic rhinitis ?,allergic rhintis,2
What are complications of allergic rhinitis ?,allergic rhintis,2
Why is the risk for developing obstructive sleep apnea (OSA) increased in patients with allergic rhinitis ?,allergic rhintis,1
What is the role of concomitant medical conditions in the diagnosis and treatment allergic rhinitis ?,allergic rhintis,0
Which conditions increase the risk for allergic rhinitis  in children?,allergic rhintis,1
What is the role of family history in the diagnosis of allergic rhinitis ?,allergic rhintis,0
Which environmental exposures should be the focus of history in suspected allergic rhinitis ?,allergic rhintis,0
What is the effect of allergic rhinitis  on quality of life?,allergic rhintis,2
What is the focus of the physical exam for suspected allergic rhinitis ?,allergic rhintis,0
What are the facial features characteristic of allergic rhinitis ?,allergic rhintis,2
How is the nasal exam of allergic rhinitis  conducted?,allergic rhintis,0
Which nasal exam findings suggest allergic rhinitis ?,allergic rhintis,0
What should be included in the nasal exam in patients with allergic rhinitis ?,allergic rhintis,0
What is the role of otoscopy in the workup of suspected allergic rhinitis ?,allergic rhintis,1
What are ocular exam findings characteristic of allergic rhinitis ?,allergic rhintis,0
Which physical findings in the throat are characteristic of allergic rhinitis ?,allergic rhintis,2
What is the focus of the neck exam in suspected allergic rhinitis ?,allergic rhintis,2
What is the focus in the respiratory exam in suspected allergic rhinitis ?,allergic rhintis,2
What is the focus of the dermatologic exam in suspected allergic rhinitis ?,allergic rhintis,2
Which systemic diseases should be considered in the physical exam for suspected allergic rhinitis ?,allergic rhintis,0
What are the causes of allergic rhinitis ?,allergic rhintis,2
What is the cause of seasonal allergic rhinitis ?,allergic rhintis,2
What are common tree pollens that cause allergic rhinitis ?,allergic rhintis,0
What are common grass pollens that cause allergic rhinitis ?,allergic rhintis,0
What are some common weed pollens that cause allergic rhinitis ?,allergic rhintis,0
How do atmospheric conditions affect the dispersion of mold that cause allergic rhinitis ?,allergic rhintis,0
What is the cause of perennial allergic rhinitis ?,allergic rhintis,0
Which house dust mite species commonly cause allergic rhinitis ?,allergic rhintis,0
Which pets are most likely to cause perennial allergic rhinitis ?,allergic rhintis,0
Which insect is a common cause of perennial allergic rhinitis ?,allergic rhintis,0
Which pest infestation can cause allergic rhinitis ?,allergic rhintis,0
What causes sporadic allergic rhinitis ?,allergic rhintis,0
What is occupational allergic rhinitis ?,allergic rhintis,0
Which conditions should be included in the differential diagnoses for allergic rhinitis ?,allergic rhintis,1
What are the differential diagnoses for Allergic Rhinitis?,allergic rhintis,1
What is the role of allergy testing in the diagnosis of allergic rhinitis ?,allergic rhintis,1
How are allergy skin tests used to diagnose allergic rhinitis ?,allergic rhintis,1
How is an allergy skin test performed in the diagnosis of allergic rhinitis ?,allergic rhintis,1
How are in vitro allergy tests used to diagnose allergic rhinitis ?,allergic rhintis,1
What is the basis for selecting allergens to test for in the diagnosis of allergic rhinitis ?,allergic rhintis,1
